Date,Price,Open,High,Low,Change %
"Feb 11, 2020","1,182.25","1,188.17","1,188.88","1,181.05",-0.50%
"Feb 10, 2020","1,188.17","1,192.39","1,194.90","1,185.73",-0.35%
"Feb 09, 2020",,,,,
"Feb 08, 2020",,,,,
"Feb 07, 2020","1,192.39","1,186.28","1,196.69","1,185.35",0.52%
"Feb 06, 2020","1,186.28","1,184.40","1,186.88","1,178.32",0.16%
"Feb 05, 2020","1,184.40","1,183.90","1,193.34","1,180.64",0.04%
"Feb 04, 2020","1,183.90","1,190.74","1,194.84","1,183.90",-0.58%
"Feb 03, 2020","1,190.79","1,195.96","1,199.85","1,190.53",-0.43%
"Feb 02, 2020",,,,,
"Feb 01, 2020",,,,,
"Jan 31, 2020","1,195.97","1,188.64","1,198.90","1,184.56",0.62%
"Jan 30, 2020","1,188.64","1,179.68","1,194.03","1,178.74",0.76%
"Jan 29, 2020","1,179.68","1,177.11","1,180.81","1,174.53",0.30%
"Jan 28, 2020","1,176.11","1,177.10","1,181.69","1,174.86",-0.14%
"Jan 27, 2020","1,177.70","1,170.24","1,180.24","1,170.20",0.64%
"Jan 26, 2020",,,,,
"Jan 25, 2020",,,,,
"Jan 24, 2020","1,170.20","1,169.41","1,171.10","1,166.55",0.06%
"Jan 23, 2020","1,169.54","1,165.76","1,171.17","1,164.65",0.32%
"Jan 22, 2020","1,165.76","1,170.01","1,170.20","1,162.30",-0.36%
"Jan 21, 2020","1,170.01","1,159.61","1,171.11","1,158.19",0.90%
"Jan 20, 2020","1,159.61","1,161.46","1,162.70","1,156.56",-0.16%
"Jan 19, 2020",,,,,
"Jan 18, 2020",,,,,
"Jan 17, 2020","1,161.44","1,161.03","1,162.29","1,156.82",0.06%
"Jan 16, 2020","1,160.73","1,158.91","1,162.24","1,157.34",0.16%
"Jan 15, 2020","1,158.91","1,158.20","1,163.40","1,156.27",0.06%
"Jan 14, 2020","1,158.20","1,154.95","1,160.14","1,151.11",0.28%
"Jan 13, 2020","1,154.95","1,158.92","1,160.00","1,153.90",-0.35%
"Jan 12, 2020",,,,,
"Jan 11, 2020",,,,,
"Jan 10, 2020","1,158.97","1,159.73","1,164.74","1,158.09",-0.06%
"Jan 09, 2020","1,159.72","1,163.34","1,164.00","1,158.34",-0.23%
"Jan 08, 2020","1,162.41","1,167.46","1,179.40","1,160.16",-0.50%
"Jan 07, 2020","1,168.30","1,167.54","1,169.15","1,163.70",0.06%
"Jan 06, 2020","1,167.56","1,165.51","1,173.41","1,165.48",0.14%
"Jan 05, 2020",,,,,
"Jan 04, 2020",,,,,
"Jan 03, 2020","1,165.95","1,158.85","1,169.24","1,156.27",0.69%
"Jan 02, 2020","1,157.94","1,154.62","1,160.93","1,153.66",0.25%
"Jan 01, 2020","1,155.02","1,155.07","1,155.56","1,154.23",0.00%
"Dec 31, 2019","1,155.07","1,157.97","1,159.19","1,153.14",-0.25%
